Classement de fréquence,Lexème,Orthographe standard (dans les journaux),Lecture standard (en Hiragana),Nature
1,の,の,の,助詞-格助詞
2,て,て,て,助詞-接続助詞
3,に,に,に,助詞-格助詞
4,は,は,は,助詞-係助詞
5,だ,だ,だ,助動詞
6,た,た,た,助動詞
7,を,を,を,助詞-格助詞
8,が,が,が,助詞-格助詞
9,と,と,と,助詞-格助詞
10,為る,する,する,動詞-非自立可能
11,も,も,も,助詞-係助詞
12,で,で,で,助詞-格助詞
13,居る,いる,いる,動詞-非自立可能
14,有る,ある,ある,動詞-非自立可能
15,ます,ます,ます,助動詞
16,です,です,です,助動詞
17,言う,いう,いう,動詞-一般
18,か,か,か,助詞-副助詞
19,事,こと,こと,名詞-普通名詞-一般
20,ない,ない,ない,助動詞
21,から,から,から,助詞-格助詞
22,れる,れる,れる,助動詞
23,成る,なる,なる,動詞-非自立可能
24,無い,ない,ない,形容詞-非自立可能
25,様,よう,よう,形状詞-助動詞語幹
26,其の,その,その,連体詞
27,一,一,いち,名詞-数詞
28,ず,ず,ず,助動詞
29,物,もの,もの,名詞-普通名詞-サ変可能
30,人,人,ひと,名詞-普通名詞-一般
31,其れ,それ,それ,代名詞
32,御,お,お,接頭辞
33,此の,この,この,連体詞
34,二,二,に,名詞-数詞
35,的,的,てき,接尾辞-形状詞的
36,ば,ば,ば,助詞-接続助詞
37,や,や,や,助詞-副助詞
38,来る,来る,くる,動詞-非自立可能
39,思う,思う,おもう,動詞-一般
40,年,年,ねん,接尾辞-名詞的-助数詞
41,行く,いく,いく,動詞-非自立可能
42,三,三,さん,名詞-数詞
43,何,何,なに,代名詞
44,見る,見る,みる,動詞-非自立可能
45,良い,よい,よい,形容詞-非自立可能
46,出来る,できる,できる,動詞-非自立可能
47,私■代名詞,わたし,わたし,代名詞
48,時,時,とき,名詞-普通名詞-副詞可能
49,者,者,しゃ,接尾辞-名詞的-一般
50,そう,そう,そう,副詞
51,十,十,じゅう,名詞-数詞
52,られる,られる,られる,助動詞
53,此れ,これ,これ,代名詞
54,よ,よ,よ,助詞-終助詞
55,方,方,ほう,名詞-普通名詞-一般
56,さん,さん,さん,接尾辞-名詞的-一般
57,など,など,など,助詞-副助詞
58,ね,ね,ね,助詞-終助詞
59,中,中,ちゅう,名詞-普通名詞-副詞可能
60,まで,まで,まで,助詞-副助詞
61,へ,へ,へ,助詞-格助詞
62,五,五,ご,名詞-数詞
63,所,ところ,ところ,名詞-普通名詞-副詞可能
64,拠る,よる,よる,動詞-一般
65,達,たち,たち,接尾辞-名詞的-一般
66,四,四,よん,名詞-数詞
67,為,ため,ため,名詞-普通名詞-副詞可能
68,だけ,だけ,だけ,助詞-副助詞
69,どう,どう,どう,副詞
70,自分,自分,じぶん,名詞-普通名詞-一般
71,日本,日本,にっぽん,名詞-固有名詞-地名-国
72,てる,てる,てる,助動詞
73,日,日,ひ,名詞-普通名詞-一般
74,せる,せる,せる,助動詞
75,って,って,って,助詞-副助詞
76,又,また,また,接続詞
77,等,等,とう,接尾辞-名詞的-一般
78,後,あと,あと,接尾辞-名詞的-副詞可能
79,仕舞う,しまう,しまう,動詞-非自立可能
80,彼,彼,かれ,代名詞
81,千,千,せん,名詞-数詞
82,たい,たい,たい,助動詞
83,つ,つ,つ,接尾辞-名詞的-助数詞
84,分かる,わかる,わかる,動詞-一般
85,持つ,持つ,もつ,動詞-一般
86,考える,考える,かんがえる,動詞-一般
87,二十,二十,にじゅう,名詞-数詞
88,今,今,いま,名詞-普通名詞-副詞可能
89,六,六,ろく,名詞-数詞
90,月,月,げつ,接尾辞-名詞的-助数詞
91,遣る,やる,やる,動詞-非自立可能
92,な,な,な,助詞-終助詞
93,目,目,め,接尾辞-名詞的-一般
94,出る,出る,でる,動詞-一般
95,場合,場合,ばあい,名詞-普通名詞-副詞可能
96,前,前,まえ,名詞-普通名詞-副詞可能
97,就く,つく,つく,動詞-一般
98,八,八,はち,名詞-数詞
99,たり,たり,たり,助詞-副助詞
100,七,七,なな,名詞-数詞
101,さ,さ,さ,接尾辞-名詞的-一般
102,上,うえ,うえ,名詞-普通名詞-副詞可能
103,然し,しかし,しかし,接続詞
104,より,より,より,助詞-格助詞
105,第,第,だい,接頭辞
106,取る,とる,とる,動詞-一般
107,聞く,聞く,きく,動詞-一般
108,けれど,けれど,けれど,助詞-接続助詞
109,家,家,いえ,名詞-普通名詞-一般
110,ながら,ながら,ながら,助詞-接続助詞
111,下さる,下さる,くださる,動詞-非自立可能
112,気,気,き,名詞-普通名詞-一般
113,知る,知る,しる,動詞-一般
114,九,九,きゅう,名詞-数詞
115,性,性,せい,接尾辞-名詞的-一般
116,呉れる,くれる,くれる,動詞-非自立可能
117,内,うち,うち,名詞-普通名詞-副詞可能
118,九百,九百,きゅうひゃく,名詞-数詞
119,三十,三十,さんじゅう,名詞-数詞
120,入る,入る,はいる,動詞-一般
121,置く,置く／おく,おく,動詞-非自立可能
122,使う,使う,つかう,動詞-一般
123,他,他,た／ほか,名詞-普通名詞-副詞可能
124,子供,子ども,こども,名詞-普通名詞-一般
125,そして,そして,そして,接続詞
126,間,間,あいだ,名詞-普通名詞-一般
127,し,し,し,助詞-接続助詞
128,ほど,ほど,ほど,助詞-副助詞
129,もう,もう,もう,副詞
130,其処,そこ,そこ,代名詞
131,問題,問題,もんだい,名詞-普通名詞-一般
132,訳,わけ,わけ,名詞-普通名詞-一般
133,対する,対する,たいする,動詞-一般
134,必要,必要,ひつよう,名詞-普通名詞-形状詞可能
135,度,度,ど,名詞-普通名詞-副詞可能
136,同じ,同じ,おなじ,連体詞
137,此処,ここ,ここ,代名詞
138,手,手,て,名詞-普通名詞-一般
139,多い,多い,おおい,形容詞-一般
140,時間,時間,じかん,名詞-普通名詞-副詞可能
141,くらい,くらい,くらい,助詞-副助詞
142,於く,おく,おく,動詞-一般
143,出す,出す,だす,動詞-非自立可能
144,人間,人間,にんげん,名詞-普通名詞-一般
145,化,化,か,接尾辞-名詞的-サ変可能
146,私,わたし,わたし,代名詞
147,貴方,あなた,あなた,代名詞
148,万,万,まん,名詞-普通名詞-副詞可能
149,こう,こう,こう,副詞
150,関係,関係,かんけい,名詞-普通名詞-サ変可能
151,話,話,はなし,名詞-普通名詞-サ変可能
152,国,国,くに,名詞-普通名詞-一般
153,作る,つくる,つくる,動詞-一般
154,男,男,おとこ,名詞-普通名詞-一般
155,百,百,ひゃく,名詞-数詞
156,社会,社会,しゃかい,名詞-普通名詞-一般
157,そんな,そんな,そんな,連体詞
158,僕,僕,ぼく,代名詞
159,行う,行う,おこなう,動詞-一般
160,顔,顔,かお,名詞-普通名詞-一般
161,五十,五十,ごじゅう,名詞-数詞
162,知れる,知れる,しれる,動詞-一般
163,次,次,つぎ,名詞-普通名詞-一般
164,良く,よく,よく,副詞
165,べし,べし,べし,助動詞
166,言葉,言葉,ことば,名詞-普通名詞-一般
167,円,円,えん,接尾辞-名詞的-助数詞
168,書く,書く,かく,動詞-一般
169,付ける,つける,つける,動詞-非自立可能
170,子,子,こ,名詞-普通名詞-一般
171,四十,四十,よんじゅう,名詞-数詞
172,意味,意味,いみ,名詞-普通名詞-サ変可能
173,侭,まま,まま,名詞-普通名詞-副詞可能
174,力,力,ちから,名詞-普通名詞-一般
175,貰う,もらう,もらう,動詞-非自立可能
176,教える,教える,おしえる,動詞-一般
177,心,心,こころ,名詞-普通名詞-一般
178,掛ける,かける,かける,動詞-非自立可能
179,大,大,だい,接頭辞
180,時代,時代,じだい,名詞-普通名詞-一般
181,彼女,彼女,かのじょ,代名詞
182,世界,世界,せかい,名詞-普通名詞-一般
183,得る,得る,える,動詞-非自立可能
184,九十,九十,きゅうじゅう,名詞-数詞
185,誰,だれ,だれ,代名詞
186,何時,いつ,いつ,代名詞
187,何処,どこ,どこ,代名詞
188,女,女,おんな,名詞-普通名詞-一般
189,会社,会社,かいしゃ,名詞-普通名詞-一般
190,声,声,こえ,名詞-普通名詞-一般
191,仕事,仕事,しごと,名詞-普通名詞-サ変可能
192,分,分,ふん,接尾辞-名詞的-助数詞
193,車,車,しゃ,接尾辞-名詞的-一般
194,共,とも,とも,名詞-普通名詞-一般
195,歳,歳,さい,接尾辞-名詞的-助数詞
196,見える,見える,みえる,動詞-一般
197,一人,一人,ひとり,名詞-普通名詞-副詞可能
198,皆,みな,みな,名詞-普通名詞-副詞可能
199,未だ,まだ,まだ,副詞
200,下,下,した,名詞-普通名詞-一般
201,数,数,すう,名詞-数詞
202,体,体,たい,接尾辞-名詞的-一般
203,六十,六十,ろくじゅう,名詞-数詞
204,入れる,入れる,いれる,動詞-一般
205,以上,以上,いじょう,名詞-普通名詞-副詞可能
206,生活,生活,せいかつ,名詞-普通名詞-サ変可能
207,会,会,かい,名詞-普通名詞-一般
208,本,本,ほん,接頭辞
209,二人,二人,ふたり,名詞-普通名詞-副詞可能
210,八十,八十,はちじゅう,名詞-数詞
211,頃,ころ,ころ,名詞-普通名詞-副詞可能
212,女性,女性,じょせい,名詞-普通名詞-一般
213,少し,少し,すこし,副詞
214,金,カネ,かね,接尾辞-名詞的-一般
214,受ける,受ける,うける,動詞-一般
216,先,先,さき,名詞-普通名詞-副詞可能
217,法,法,ほう,名詞-普通名詞-一般
218,高い,高い,たかい,形容詞-一般
219,不,不,ふ,接頭辞
220,俺,おれ,おれ,代名詞
221,しか,しか,しか,助詞-副助詞
222,更に,さらに,さらに,接続詞
223,全て,すべて,すべて,名詞-普通名詞-副詞可能
224,付く,つく,つく,動詞-非自立可能
225,可能,可能,かのう,形状詞-一般
226,相手,相手,あいて,名詞-普通名詞-一般
227,大きい,大きい,おおきい,形容詞-一般
228,本当,本当,ほんとう,名詞-普通名詞-一般
229,余り,あまり,あまり,副詞
230,学校,学校,がっこう,名詞-普通名詞-一般
231,点,点,てん,名詞-普通名詞-一般
232,違う,違う,ちがう,動詞-一般
233,始める,始める,はじめる,動詞-非自立可能
234,呼ぶ,呼ぶ,よぶ,動詞-一般
235,母,母,はは,名詞-普通名詞-一般
236,上げる,あげる,あげる,動詞-非自立可能
237,零,０,れい,名詞-数詞
238,らしい,らしい,らしい,接尾辞-形容詞的
239,七十,七十,ななじゅう,名詞-数詞
240,アメリカ,アメリカ,あめりか,名詞-固有名詞-地名-国
241,形,形,かたち,名詞-普通名詞-一般
242,ばかり,ばかり,ばかり,助詞-副助詞
243,過ぎる,すぎる,すぎる,動詞-非自立可能
244,方法,方法,ほうほう,名詞-普通名詞-一般
245,悪い,悪い,わるい,形容詞-一般
246,筈,はず,はず,名詞-普通名詞-一般
247,直ぐ,すぐ,すぐ,副詞
248,企業,企業,きぎょう,名詞-普通名詞-一般
249,情報,情報,じょうほう,名詞-普通名詞-一般
250,唯,ただ,ただ,副詞
251,研究,研究,けんきゅう,名詞-普通名詞-サ変可能
252,わ,わ,わ,助詞-終助詞
253,こんな,こんな,こんな,連体詞
254,大きな,大きな,おおきな,連体詞
255,感ずる,感ずる,かんずる,動詞-一般
256,頭,頭,あたま,名詞-普通名詞-一般
257,続ける,続ける,つづける,動詞-非自立可能
258,通り,通り,とおり,名詞-普通名詞-副詞可能
259,何の,どの,どの,連体詞
260,食べる,食べる,たべる,動詞-一般
261,パーセント,％,ぱーせんと,接尾辞-名詞的-助数詞
262,先生,先生,せんせい,名詞-普通名詞-一般
263,生,生,なま,名詞-普通名詞-形状詞可能
264,存在,存在,そんざい,名詞-普通名詞-サ変可能
265,強い,強い,つよい,形容詞-一般
266,名,名,な,名詞-普通名詞-一般
267,代,代,だい,接尾辞-名詞的-助数詞
268,矢張り,やはり,やはり,副詞
269,経済,経済,けいざい,名詞-普通名詞-一般
270,氏,氏,し,接尾辞-名詞的-一般
271,り,り,り,助動詞
272,大学,大学,だいがく,名詞-普通名詞-一般
273,父,父,ちち,名詞-普通名詞-一般
274,店,店,みせ,名詞-普通名詞-一般
275,別,別,べつ,名詞-普通名詞-形状詞可能
276,口,口,くち,名詞-普通名詞-一般
277,町,町,ちょう,接尾辞-名詞的-助数詞
278,質問,質問,しつもん,名詞-普通名詞-サ変可能
279,掛かる,かかる,かかる,動詞-非自立可能
280,何故,なぜ,なぜ,副詞
281,現在,現在,げんざい,名詞-普通名詞-副詞可能
282,先ず,まず,まず,副詞
283,変わる,変わる,かわる,動詞-一般
284,部,部,ぶ,接尾辞-名詞的-一般
285,市,市,し,名詞-普通名詞-一般
286,例えば,例えば,たとえば,副詞
287,読む,読む,よむ,動詞-一般
288,中国,中国,ちゅうごく,名詞-固有名詞-地名-国
289,語,語,ご,名詞-普通名詞-一般
290,水,水,みず,名詞-普通名詞-一般
291,買う,買う,かう,動詞-一般
292,詰まり,つまり,つまり,副詞
293,電話,電話,でんわ,名詞-普通名詞-サ変可能
294,二千,二千,にせん,名詞-数詞
294,少ない,少ない,すくない,形容詞-一般
296,生きる,生きる,いきる,動詞-一般
297,回,回,かい,接尾辞-名詞的-助数詞
298,気持ち,気持ち,きもち,名詞-普通名詞-一般
299,全く,全く,まったく,副詞
300,結果,結果,けっか,名詞-普通名詞-副詞可能
301,主義,主義,しゅぎ,名詞-普通名詞-一般
302,側,側,がわ,名詞-普通名詞-一般
303,地,地,ち,名詞-普通名詞-一般
304,書,書,しょ,接尾辞-名詞的-一般
305,長い,長い,ながい,形容詞-一般
306,切る,切る,きる,動詞-非自立可能
307,どんな,どんな,どんな,形状詞-一般
308,今日,今日,きょう,名詞-普通名詞-副詞可能
309,一寸,ちょっと,ちょっと,副詞
309,教育,教育,きょういく,名詞-普通名詞-サ変可能
311,県,県,けん,名詞-普通名詞-一般
312,立つ,立つ,たつ,動詞-一般
313,彼の,あの,あの,連体詞
314,道,道,みち,名詞-普通名詞-一般
315,トウキョウ,トウキョウ,とうきょう,名詞-固有名詞-地名-一般
316,何れ,いずれ,いずれ,代名詞
317,二百,二百,にひゃく,名詞-数詞
318,好き,好き,すき,形状詞-一般
319,或る,ある,ある,連体詞
320,殆ど,ほとんど,ほとんど,名詞-普通名詞-副詞可能
321,山,山,やま,名詞-普通名詞-一般
322,なんて,なんて,なんて,助詞-副助詞
323,帰る,帰る,かえる,動詞-一般
324,話す,話す,はなす,動詞-一般
325,風,風,かぜ,名詞-普通名詞-形状詞可能
326,みたい,みたい,みたい,形状詞-助動詞語幹
327,若し,もし,もし,副詞
328,場,場,ば,名詞-普通名詞-一般
329,人々,人々,ひとびと,名詞-普通名詞-一般
330,姿,姿,すがた,名詞-普通名詞-一般
331,或いは,あるいは,あるいは,接続詞
332,一緒,一緒,いっしょ,名詞-普通名詞-サ変可能
333,状態,状態,じょうたい,名詞-普通名詞-一般
334,自然,自然,しぜん,名詞-普通名詞-一般
335,特に,特に,とくに,副詞
336,飲む,飲む,のむ,動詞-一般
337,ページ,ページ,ぺーじ,接尾辞-名詞的-助数詞
338,部屋,部屋,へや,名詞-普通名詞-一般
339,部分,部分,ぶぶん,名詞-普通名詞-一般
340,実,実,じつ,名詞-普通名詞-一般
341,示す,示す,しめす,動詞-一般
342,学,学,がく,名詞-普通名詞-一般
343,新しい,新しい,あたらしい,形容詞-一般
344,多く,多く,おおく,名詞-普通名詞-副詞可能
345,関する,関する,かんする,動詞-一般
346,活動,活動,かつどう,名詞-普通名詞-サ変可能
347,与える,与える,あたえる,動詞-一般
348,事件,事件,じけん,名詞-普通名詞-一般
349,勿論,もちろん,もちろん,副詞
350,既に,すでに,すでに,副詞
351,利用,利用,りよう,名詞-普通名詞-サ変可能
352,一般,一般,いっぱん,名詞-普通名詞-一般
353,一番,一番,いちばん,副詞
354,ちゃん,ちゃん,ちゃん,接尾辞-名詞的-一般
355,最初,最初,さいしょ,名詞-普通名詞-副詞可能
356,実際,実際,じっさい,名詞-普通名詞-副詞可能
357,確か,確か,たしか,形状詞-一般
358,地域,地域,ちいき,名詞-普通名詞-一般
359,用,用,よう,接尾辞-名詞的-一般
360,理由,理由,りゆう,名詞-普通名詞-一般
361,説明,説明,せつめい,名詞-普通名詞-サ変可能
362,身,身,み,名詞-普通名詞-一般
363,政治,政治,せいじ,名詞-普通名詞-一般
364,頂く,いただく,いただく,動詞-非自立可能
365,神,神,かみ,名詞-普通名詞-一般
366,場所,場所,ばしょ,名詞-普通名詞-一般
367,権,権,けん,接尾辞-名詞的-一般
368,戻る,戻る,もどる,動詞-一般
369,早い,早い,はやい,形容詞-一般
370,評価,評価,ひょうか,名詞-普通名詞-サ変可能
371,普通,普通,ふつう,名詞-普通名詞-形状詞可能
372,開く,開く,ひらく,動詞-一般
373,音,音,おと,名詞-普通名詞-一般
374,死ぬ,死ぬ,しぬ,動詞-一般
375,従う,従う,したがう,動詞-一般
376,図,図,ず,名詞-普通名詞-一般
377,止める,やめる,やめる,動詞-一般
378,願う,願う,ねがう,動詞-非自立可能
379,及び,及び,および,接続詞
380,長,長,ちょう,接尾辞-名詞的-一般
381,甘い,甘い,あまい,形容詞-一般
382,小,小,しょう,接頭辞
383,若い,若い,わかい,形容詞-一般
384,内容,内容,ないよう,名詞-普通名詞-一般
385,こそ,こそ,こそ,助詞-係助詞
385,条,条,じょう,名詞-普通名詞-一般
387,歩く,歩く,あるく,動詞-一般
388,待つ,待つ,まつ,動詞-一般
389,欲しい,欲しい,ほしい,形容詞-非自立可能
390,労働,労働,ろうどう,名詞-普通名詞-サ変可能
391,自由,自由,じゆう,名詞-普通名詞-形状詞可能
392,外,外,そと,名詞-普通名詞-一般
392,違い,違い,ちがい,名詞-普通名詞-一般
394,求める,求める,もとめる,動詞-一般
395,当時,当時,とうじ,名詞-普通名詞-副詞可能
396,初めて,初めて,はじめて,副詞
397,自身,自身,じしん,名詞-普通名詞-副詞可能
398,館,館,かん,接尾辞-名詞的-一般
399,何方,どちら,どちら,代名詞
400,意識,意識,いしき,名詞-普通名詞-サ変可能
401,事業,事業,じぎょう,名詞-普通名詞-一般
402,深い,深い,ふかい,形容詞-一般
403,重要,重要,じゅうよう,形状詞-一般
404,結婚,結婚,けっこん,名詞-普通名詞-サ変可能
405,状況,状況,じょうきょう,名詞-普通名詞-一般
406,文化,文化,ぶんか,名詞-普通名詞-一般
407,使用,使用,しよう,名詞-普通名詞-サ変可能
408,易い,やすい,やすい,接尾辞-形容詞的
409,機,機,き,接尾辞-名詞的-一般
410,夜,夜,よる,名詞-普通名詞-副詞可能
411,可成,かなり,かなり,副詞
412,理解,理解,りかい,名詞-普通名詞-サ変可能
413,戦争,戦争,せんそう,名詞-普通名詞-サ変可能
413,制度,制度,せいど,名詞-普通名詞-一般
415,家族,家族,かぞく,名詞-普通名詞-一般
416,認める,認める,みとめる,動詞-一般
417,会う,会う,あう,動詞-一般
418,最近,最近,さいきん,名詞-普通名詞-副詞可能
419,程度,程度,ていど,名詞-普通名詞-一般
420,色々,いろいろ,いろいろ,副詞
421,無,無,む,接頭辞
422,箇月,カ月,かげつ,接尾辞-名詞的-助数詞
423,続く,続く,つづく,動詞-非自立可能
424,八百,八百,はっぴゃく,名詞-数詞
425,社,社,しゃ,接尾辞-名詞的-一般
426,型,型,かた,名詞-普通名詞-一般
427,なり■断定,なり,なり,助動詞
428,以外,以外,いがい,名詞-普通名詞-副詞可能
428,個人,個人,こじん,名詞-普通名詞-一般
430,村,村,むら,名詞-普通名詞-一般
431,否,いや,いや,感動詞-一般
432,例,例,れい,名詞-普通名詞-一般
433,親,親,おや,名詞-普通名詞-一般
434,歴史,歴史,れきし,名詞-普通名詞-一般
435,向かう,向かう,むかう,動詞-一般
436,中心,中心,ちゅうしん,名詞-普通名詞-一般
437,生まれる,生まれる,うまれる,動詞-一般
438,最も,最も,もっとも,副詞
439,目的,目的,もくてき,名詞-普通名詞-一般
440,元,元,もと,名詞-普通名詞-一般
441,御前,お前,おまえ,代名詞
442,感,感,かん,名詞-普通名詞-一般
443,昭和,昭和,しょうわ,名詞-固有名詞-一般
444,見せる,見せる,みせる,動詞-非自立可能
445,迚も,とても,とても,副詞
446,環境,環境,かんきょう,名詞-普通名詞-一般
447,政府,政府,せいふ,名詞-普通名詞-一般
448,君,君,くん,接尾辞-名詞的-一般
449,技術,技術,ぎじゅつ,名詞-普通名詞-一般
450,此方,こちら,こちら,代名詞
451,当たる,当たる,あたる,動詞-一般
452,終わる,終わる,おわる,動詞-非自立可能
453,其々,それぞれ,それぞれ,名詞-普通名詞-副詞可能
454,最後,最後,さいご,名詞-普通名詞-一般
455,あの,あの,あの,感動詞-フィラー
456,行動,行動,こうどう,名詞-普通名詞-サ変可能
457,号,号,ごう,接尾辞-名詞的-一般
458,色,色,いろ,名詞-普通名詞-一般
459,一方,一方,いっぽう,名詞-普通名詞-副詞可能
460,基本,基本,きほん,名詞-普通名詞-一般
461,写真,写真,しゃしん,名詞-普通名詞-一般
462,感じ,感じ,かんじ,名詞-普通名詞-一般
463,乗る,乗る,のる,動詞-一般
464,屋,屋,や,接尾辞-名詞的-一般
465,残る,残る,のこる,動詞-一般
466,事実,事実,じじつ,名詞-普通名詞-副詞可能
467,名前,名前,なまえ,名詞-普通名詞-一般
468,運動,運動,うんどう,名詞-普通名詞-サ変可能
469,足,足,あし,名詞-普通名詞-一般
470,述べる,述べる,のべる,動詞-一般
471,昔,昔,むかし,名詞-普通名詞-副詞可能
472,十分,十分,じゅうぶん,形状詞-一般
473,君■代名詞,君,きみ,代名詞
474,もっと,もっと,もっと,副詞
475,変化,変化,へんか,名詞-普通名詞-サ変可能
476,保険,保険,ほけん,名詞-普通名詞-一般
477,地方,地方,ちほう,名詞-普通名詞-一般
478,世紀,世紀,せいき,名詞-普通名詞-一般
479,管理,管理,かんり,名詞-普通名詞-サ変可能
480,線,線,せん,接尾辞-名詞的-一般
481,員,員,いん,接尾辞-名詞的-一般
482,新聞,新聞,しんぶん,名詞-普通名詞-一般
482,客,客,きゃく,名詞-普通名詞-一般
484,国民,国民,こくみん,名詞-普通名詞-一般
485,精神,精神,せいしん,名詞-普通名詞-一般
486,娘,娘,むすめ,名詞-普通名詞-一般
487,病院,病院,びょういん,名詞-普通名詞-一般
487,全体,全体,ぜんたい,名詞-普通名詞-一般
489,御座る,ござる,ござる,動詞-非自立可能
490,我々,我々,われわれ,代名詞
491,調査,調査,ちょうさ,名詞-普通名詞-サ変可能
491,立てる,立てる,たてる,動詞-一般
493,期,期,き,接尾辞-名詞的-一般
494,必ず,必ず,かならず,副詞
495,然も,しかも,しかも,接続詞
496,約,約,やく,接頭辞
497,経験,経験,けいけん,名詞-普通名詞-サ変可能
498,論,論,ろん,名詞-普通名詞-一般
499,効果,効果,こうか,名詞-普通名詞-一般
500,答える,答える,こたえる,動詞-一般
501,新,新,しん,接頭辞
502,働く,働く,はたらく,動詞-一般
503,組織,組織,そしき,名詞-普通名詞-サ変可能
504,のみ,のみ,のみ,助詞-副助詞
504,経営,経営,けいえい,名詞-普通名詞-サ変可能
506,行為,行為,こうい,名詞-普通名詞-一般
507,メール■mail,メール,めーる,名詞-普通名詞-サ変可能
508,送る,送る,おくる,動詞-一般
509,始まる,始まる,はじまる,動詞-一般
510,五百,五百,ごひゃく,名詞-数詞
511,国家,国家,こっか,名詞-普通名詞-一般
512,責任,責任,せきにん,名詞-普通名詞-一般
513,系,系,けい,接尾辞-名詞的-一般
514,さえ,さえ,さえ,助詞-副助詞
515,自己,自己,じこ,名詞-普通名詞-一般
516,奴,奴,やつ,名詞-普通名詞-一般
517,影響,影響,えいきょう,名詞-普通名詞-サ変可能
518,軍,軍,ぐん,名詞-普通名詞-一般
519,含む,含む,ふくむ,動詞-一般
520,ちゃう,ちゃう,ちゃう,助動詞
521,起こる,起こる,おこる,動詞-一般
522,海,海,うみ,名詞-普通名詞-一般
523,関わる,かかわる,かかわる,動詞-一般
524,品,品,ひん,接尾辞-名詞的-一般
525,様々,さまざま,さまざま,形状詞-一般
526,忘れる,忘れる,わすれる,動詞-非自立可能
527,三百,三百,さんびゃく,名詞-数詞
528,では,では,でわ,助詞-格助詞
529,商品,商品,しょうひん,名詞-普通名詞-一般
530,嫌,いや,いや,形状詞-一般
531,済む,すむ,すむ,動詞-一般
532,笑う,笑う,わらう,動詞-一般
533,機能,機能,きのう,名詞-普通名詞-サ変可能
534,夫,夫,おっと,名詞-普通名詞-一般
535,ぞ,ぞ,ぞ,助詞-終助詞
536,計画,計画,けいかく,名詞-普通名詞-サ変可能
537,為さる,なさる,なさる,動詞-非自立可能
538,式,式,しき,名詞-普通名詞-一般
539,生産,生産,せいさん,名詞-普通名詞-サ変可能
540,変える,変える,かえる,動詞-一般
541,花,花,はな,名詞-普通名詞-一般
542,同時,同時,どうじ,名詞-普通名詞-一般
543,引く,引く,ひく,動詞-一般
544,対象,対象,たいしょう,名詞-普通名詞-一般
545,辺り,あたり,あたり,名詞-普通名詞-副詞可能
546,沢山,たくさん,たくさん,副詞
547,船,船,ふね,名詞-普通名詞-一般
548,男性,男性,だんせい,名詞-普通名詞-一般
549,売る,売る,うる,動詞-一般
550,進む,進む,すすむ,動詞-一般
551,渡る,渡る,わたる,動詞-非自立可能
552,当然,当然,とうぜん,副詞
553,選ぶ,選ぶ,えらぶ,動詞-一般
554,寺,寺,じ,接尾辞-名詞的-一般
555,価値,価値,かち,名詞-普通名詞-一般
556,思い,思い,おもい,名詞-普通名詞-一般
557,大変,大変,たいへん,形状詞-一般
558,表現,表現,ひょうげん,名詞-普通名詞-サ変可能
559,量,量,りょう,名詞-普通名詞-一般
560,小さな,小さな,ちいさな,連体詞
561,テレビ,テレビ,てれび,名詞-普通名詞-一般
562,確認,確認,かくにん,名詞-普通名詞-サ変可能
563,走る,走る,はしる,動詞-一般
564,妻,妻,つま,名詞-普通名詞-一般
565,以前,以前,いぜん,名詞-普通名詞-副詞可能
566,銀行,銀行,ぎんこう,名詞-普通名詞-一般
567,我が,わが,わが,連体詞
567,現われる,現れる,あらわれる,動詞-一般
569,党,党,とう,接尾辞-名詞的-一般
570,住む,住む,すむ,動詞-一般
571,文字,文字,もじ,名詞-普通名詞-一般
572,簡単,簡単,かんたん,形状詞-一般
573,木,木,き,名詞-普通名詞-一般
574,奥,奥,おく,名詞-普通名詞-一般
575,現実,現実,げんじつ,名詞-普通名詞-一般
576,年間,年間,ねんかん,接尾辞-名詞的-助数詞
577,判断,判断,はんだん,名詞-普通名詞-サ変可能
578,都市,都市,とし,名詞-普通名詞-一般
579,近く,近く,ちかく,名詞-普通名詞-副詞可能
579,川,川,かわ,名詞-普通名詞-一般
581,面,面,めん,名詞-普通名詞-一般
582,難い,がたい,がたい,接尾辞-形容詞的
583,朝,朝,ちょう,接尾辞-名詞的-一般
584,駄目,ダメ,だめ,名詞-普通名詞-形状詞可能
585,システム,システム,しすてむ,名詞-普通名詞-一般
586,時期,時期,じき,名詞-普通名詞-副詞可能
587,機関,機関,きかん,名詞-普通名詞-一般
588,表,表,ひょう,名詞-普通名詞-一般
588,彼れ,あれ,あれ,代名詞
590,光,光,ひかり,名詞-普通名詞-一般
591,条件,条件,じょうけん,名詞-普通名詞-一般
592,伝える,伝える,つたえる,動詞-一般
593,動く,動く,うごく,動詞-一般
594,役,役,やく,名詞-普通名詞-一般
595,率,率,りつ,名詞-普通名詞-一般
596,決める,決める,きめる,動詞-一般
597,首,首,くび,名詞-普通名詞-一般
598,作品,作品,さくひん,名詞-普通名詞-一般
599,即ち,すなわち,すなわち,接続詞
600,明治,明治,めいじ,名詞-固有名詞-一般
601,際,際,さい,名詞-普通名詞-副詞可能
602,友達,友達,ともだち,名詞-普通名詞-一般
603,エド,江戸,えど,名詞-固有名詞-地名-一般
604,市場,市場,しじょう,名詞-普通名詞-一般
605,勧める,勧める,すすめる,動詞-一般
606,猶,なお,なお,副詞
607,気付く,気づく,きづく,動詞-一般
608,描く,描く,えがく,動詞-一般
609,明らか,明らか,あきらか,形状詞-一般
610,幾,いく,いく,名詞-数詞
